v	ID	###	Noun base	Verb base	PROPERTIES	group	trans?	object	argument	locative argument	weak / optional argument	Examples: Positive	Examples: Negative + Question	NEGATIVE examples: should NOT match	Noun examples	GROUPS + COMMENTS + NOTES		DISTRACTORS
	6			ahdistaa			Transitive	HEAD:Noun + Case:Partitive				Tentti ahdistaa minua.				??? tunnekausatiivi ?		
					*CONCEPTS*			Syntax-tunnekausatiivi-object										
	7		ahdistelu	ahdistella			Transitive	HEAD:Noun + Case:Partitive				Mies ahdistelee minua.						
					*CONCEPTS*													
	8		ahdistus	ahdistua			Intransitive	—	HEAD:Noun + Case:Elative			Opiskelija ahdistui tentistä.				ELATIIVI-non-loc ???		
					*CONCEPTS*													
	9			aiheuttaa		MUUTOS?	Transitive	HEAD:Noun + Case:Objective			HEAD:Noun + Case:Allative	Tämä aiheuttaa meille töitä.	Tämä ei aiheuta meille paljoa töitä.			Tämä ei aiheuta meille juurikaan töitä.	töitä	
					*CONCEPTS*													
	10			aiheutua			Intransitive	—	HEAD:Noun + Case:Elative		HEAD:Noun + Case:Allative	Tästä aiheutuu meille iso työ.	Tästä aiheutuu meille paljon työtä.			ELATIIVI-loc ???		
					*CONCEPTS*													
	11		aikomus	aikoa		MODAL	Transitive	POS:Verb + INF_FORM:Inf-A + Case:Lative				Aion lähteä torille						
					*CONCEPTS*													
	12			ajatella			Transitive	HEAD:Noun + Case:Partitive	HEAD:Noun + Case:Elative				Mitä ajattelet Liisasta?					
					*CONCEPTS*													
	13		ajatus	ajatella			Transitive	HEAD:Noun + Case:Elative				! sopimuksesta						
					*CONCEPTS*													
	14		alennus	alentaa			Transitive	HEAD:Noun + Case:Partitive				Kauppias alensi hintoja.  // Inflaatio alentaa rahan arvoa.				CH:Noun + Case:Partitive		
					*CONCEPTS*													
	15			alentaa			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Illative			Liike alentaa hinnan kahteen euroon.	Liike ei alenna hintaa kahteen euroon.  //   Alenna hinta kahteen euroon!					
					*CONCEPTS*													
	16		alennus	alentaa			Transitive	! HEAD:Noun + Case:Objective	! HEAD:Noun-ONLY + Case:Translative	 		Esimies alensi hänet apulaisjohtajaksi. // Esimies alensi heidät apulaisjohtajiksi	Hänet alennettiin apulaisjohtajaksi. // Hänen alentamisensa apulaisjohtajaksi(?)					
					*CONCEPTS*													
	17			alentua			Intransitive	—	POS:Verb + INF_FORM:Inf-Ma + Case:Illative			Hän alentui pyytämään anteeksi.						
					*CONCEPTS*													
	18			alistaa			Transitive	! HEAD:Noun + Case:Objective	! HEAD:Noun-ONLY + Case:Translative			Alistin hänet apulaiseksi. // Alistin nuoren miehen apulaiseksi. // Alistin nuorta miestä apulaiseksi. (Partitive singular) // Alistin nuoria miehiä apulaisiksi. (Partitive plural)						
					*CONCEPTS*													
	19			alistaa			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Illative			Alistin häntä siihen.  //  Alistin pojan valtaani.	Presidentti yritti alistaa hallituksen valtaansa.			"häntä" AMBIGUOUS N "häntä", Pronoun		
					*CONCEPTS*													
	20			alistua			Intransitive	—	HEAD:Noun + Case:Illative			Hän alistui kohtaloonsa.						
					*CONCEPTS*													
	21			alistua			Intransitive	—	POS:Verb + INF_FORM:Inf-Ma + Case:Illative			Alistuin tiskaamaan.						
					*CONCEPTS*													
	22		alku	alkaa			Transitive	POS:Verb + INF_FORM:Inf-A + Case:Lative				Hän alkoi yskiä.						
					*CONCEPTS*													
	23			alkaa			Intransitive	—	HEAD:Noun + Case:Elative			Hinnat alkavat 10 eurosta						
					*CONCEPTS*													
	24		aloitus	aloittaa		(+minen)	Transitive	HEAD:Noun + Case:Objective				Hän aloittaa kurssin. // Aloitan suomen kielen opiskelun syyskuussa.						
					*CONCEPTS*													
