ID	new_Prepositions_filtered	Imperfective lemma	Perfective lemma	group	Transit/Obj	arg_0	arg_1	arg_2	Examples: !Argument	comments: ?Complement *Collocation/Idiom	Distractors	Verb features
170	от!	абстрагироваться			—	HEAD:Preposition + Base:от + Gov_Case:Genitive						
171	за!	агитировать	сагитировать		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Preposition + Base:за + Gov_Case:Accusative						
172	на!	аккомпанировать			—	HEAD:Noun + Case:Dative	HEAD:Preposition + Base:на + Gov_Case:Locative		! ему на рояле			
173		актировать	актировать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
174		анализировать	проанализировать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
175		аннотировать	проаннотировать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
176		апеллировать			—	HEAD:Preposition + Base:к + Gov_Case:Dative						
177		аргументировать	аргументировать		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Noun + Case:Instrumental						
178		арканить	заарканить		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Noun + Case:Instrumental						
179	с!	ассоциировать	ассоциировать		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Preposition + Base:с + Gov_Case:Instrumental						
180	в? прежде? с! у!	ассоциироваться			—	HEAD:Preposition + Base:с + Gov_Case:Instrumental		HEAD:Preposition + Base:у + Gov_Case:Genitive				
181		асфальтировать	заасфальтировать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
7	от!	багроветь	побагроветь	BECOM	—	HEAD:Preposition + Base:от + Gov_Case:Genitive						
		базарить	побазарить		—	HEAD:Preposition + Base:о + Gov_Case:Locative			! о глупостях			
182		баламутить	взбаламутить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
183	на! между!	балансировать	сбалансировать		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Preposition + Base:на + Gov_Case:Locative	HEAD:Preposition + Base:между + Gov_Case:Instrumental					
184		балластировать	забалластировать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
